機構名稱,機構代碼,執行長,聯絡人,電話,傳真,網址,電子郵件,地址,創辦人,成立日期,許可機關,機構屬性,成立主旨,工作重點,服務區域,服務性別,服務年齡,服務項目
財團法人臺北市林鳳慈善基金會,7743,高麗婷,陳專員,(02)2659-2662,(02)2659-2635,https://linfong.org/,linfong.org@gmail.com,114台北市內湖區堤頂大道二段501號5樓,呂芬蓉,2022/03/03,臺北市政府社會局,綜合性服務,本會以辦理台北市社會福利(慈善)為目的,協助家庭學童的成長照顧、舉辦各項藝文活動、老人共餐活動,台北市,不限,不限(~),"營隊活動,急難救助,獎助學金,生涯規劃,志願服務,社福資訊"
社團法人中華公民人權協會,7742,董正隆,余函育,07-7228011,07-7228011,https://www.cchr.org.tw/,cchrtwn@cchr.org.tw,802高雄市苓雅區廣東一街91巷28號,陶昌文,2012/02/26,內政部,心理衛生,社團法人中華公民人權協會為非政治、非宗教、非營利的身心健康監督團體，旨在調查並揭露藥物副作用及有害治療的真正危險，保護人們免受傷害，CCHR 長久以來戮力恢復心靈健康領域裡不可剝奪的基本人權，包括（但不限於）對於精神科診斷的醫學合理性、精神科治療的風險擁有完全的知情同意權，接受所有可用之醫療替代方法的權利，以及拒絕接受任何被視為有害治療的權利。,1.接收心理領域違反人權的通報，如精神病院內不人道的治療及狀況、非自願住院、詐欺或性侵害...等犯罪或虐行。 2.舉辦大眾資訊運動-提供精神病學治療的真相，像是展覽、演講、研習班...等，教育知情同意權，人們可以從完全知情的立場來做決定是否接受治療與用藥。 3.告知現有心理健康條例的危險之處，促成法律修訂-禁止任意使用電擊、確保精神科病人的剝削被視為犯罪行為...等,全國性,不限,不限(~),"個案管理,自殺防治,權益倡導,其他"
社團法人中華民國施比受有福慈光會,7741,林孟緯,蔡嘉瑛,02-22666230,02-22668289,http://www.bto-give.org.tw/,btogive@hotmail.com,238新北市樹林區大安路502號9F-4 ,孫順安,2001/03/25,內政部,綜合性服務,本會服務對象及項目 服務對象經通報到府訪視後，藉由確認其收入、可領補助總額、所獲濟助扣除生活開支、醫療費等，評估確實需要幫助的單親家庭、獨居老人及弱勢家庭。 服務項目 1.到府送米及物資目前服務的範圍包含基隆、雙北、桃園、新竹北埔，每月兩次由志工開車將白米、罐頭副食品等物資，送至照顧戶家中，並關心其生活起居狀況。 2.醫療補助提供掛號費及部分負擔的補助。 3.喪葬補助從接大體開始，殯儀館全程喪葬費用及塔位安置之免費補助。 4.國中高中第八節課課輔費用補助 A、 扶助經濟弱勢之家庭，使其孩童能夠參與學校課後輔導之課程，避免因家庭經濟困難因而失去學習的機會。 B、 提供定額資金，濟助學校或孩童所需費用，補助該生第八節課課後輔導一學期之所需金額。 C、 避免因經濟弱勢之學童陷入學習的困境，故開辦此一新計畫，給予孩童安心就學、專心學習的環境，鼓勵學童積極向上、勇敢學習、發揮己長、自立自強，待日後有所成，期盼能有善的循環、回饋社會。,從認養貧困弱勢家庭開始，並以照顧他們一輩子的理念出發，每月提供相關物資，輔以醫療、喪葬、第八節課課輔基金等。,"台北市,新北市,基隆市",不限,不限(~),"課後照顧,醫療補助,喪葬補助,志願服務,聯合勸募"
豫萱護理之家,7740,翁子涵,劉社工,03-5878128,03-5870687,無,penny750909@gmail.com,306新竹縣關西鎮中豐路二段352號,翁子涵,2019/12/18,新竹縣政府衛生局,老人福利,豫萱護理之家成立的理念即是以現代化醫療設備為基礎，加諸護理人員的耐心、細心、照護配合優雅清靜的空間，提供長期或是短期的醫療照顧即全面身心靈的照護，來彌補家庭醫護功能的不足，分擔每個小家庭照顧上的壓力與責任，讓家庭獲得喘息的機會，期使住民在面對病痛時，能得到優質的對待，由悲觀轉樂觀，由消極轉積極，重新找出生活的目的與生命的意義，使家屬無後顧之憂，使入住者安頓身心靈。,24小時由照顧服務員專業照顧,新竹縣,不限,不限(~),"心理輔導,個案輔導,個案管理,團體輔導"
社團法人台灣無辜者行動聯盟,7739,黃芷嫻,黃芷嫻,0223910010,0223951139,無,tai@all4innocent.tw,100台北市中正區鎮江街一巷3號3樓,黃芷嫻,2019/01/12,內政部,綜合性服務,台灣第一個專責協助遭受司法冤判的無辜者與家庭，提供社會福利及社會工作的非營利組織。我們搭建自助助人的網絡，服務遭受司法錯判的無辜者及家庭成員，協助健全個人、家庭與社會關係。除了關注司法、獄政議題，更直面冤案衍生的各種困境，如無辜者入監及出監的適應、家庭欠缺重要成員衍生的經濟與隔代教養等問題。我們致力於連結司法、心理、家庭、經濟與社會各界的資源與專業，陪伴無辜者及家庭成員走向社會復歸的路。,進行無辜者及家人的監所與家庭訪視，依個案需求提供個人及家庭適切即時的支持性服務。,全國性,不限,不限(11~80),"心理輔導,個案輔導,個案管理,團體輔導,親職教育,休閒娛樂,醫療補助,生活扶助,職業訓練,就業資訊,就業輔導,社福資訊,政策分析"
社團法人臺中市響響輔助科技協會,7738,姚威州,林哲忠,04-2470-0189,04-2470-2589,https://sites.google.com/view/sataaac/,sataaacteam@gmail.com,408台中市南屯區黎明路一段283號,沈素戎,2016/02/14,臺中市政府社會局,綜合性服務,本會為依法設立、以非營利為目的之社會團體，以提供社會大眾、身心障礙者及失能者等服務使用者，使其在就學、就業、就醫 、就養取得良好的支持與促進，並運用輔助科技設備或相關服務達成，以期改善並提升其學習、工作能力及生活品質為宗旨。,一、提供個案及其家庭在早期療育、融合教育、轉銜教育之就學支持，並運用輔助科技設備或相關服務達成。二、提供身心障礙者職業重建及其他就業促進等相關業務之就業支持，並運用輔助科技設備或相關服務達成。三、推廣社會大眾復健衛生教育，並提供身心障礙者及失能者健康與長期照護促進相關業務之就醫支持，並運用輔助科技設備或相關服務達成。四、提供服務使用者生活重建、自立生活、社區居住之就養支持，並運用輔助科技設備或相關服務達成。五、倡導及辦理研討業務及教育講習，增進社會大眾對輔助科技之認知。六、研發、編寫、出版評量表及整合性之工具，作為輔助科技設備之用。七、建立輔助科技人力資源網及發展相關認證制度。八、整合服務使用者相關需求與資源，建構社會企業，創造產業共榮的合作平台。,"苗栗縣,台中市,彰化縣,南投縣,雲林縣",不限,不限(~),"個案管理,親職教育,早期療育,獎助學金,復建服務,輔助器具,職能治療,語言治療,特殊教育,社工實習,志願服務,聯合勸募,社區服務,社教宣導,專業訓練,社福資訊,權益倡導,國際交流"
社團法人中華民國灌溉偏鄉協會,7737,陳邦富,葉博弘,0988299389,無,無,ruralirrigation01@gmail.com,804高雄市鼓山區南屏路851號8樓,陳邦富,2021/01/07,內政部,兒童青少年福利,以仁愛服務弱勢之精神，推動偏鄉遠距視訊教學為宗旨。,與輔導學生藉由遠端視訊的方式課後輔導，協助他們完成課業，減少城鄉教育差距。,全國性,不限,限(9~15),"教學研究,學校社工,社區服務,其他"
社團法人台灣青年社會服務推展協會,7736,涂佳榮,涂佳榮,06-2679945,06-2679945,無,yssptu@gmail.com,701台南市東區崇善一街78號8樓,林士傑,2009/05/25,內政部,綜合性服務,"本會長期以來推動青(少)年從事志願服務及參與公共事務活動;透過完整的教育訓練及輔導,並結合政策、民間資源,鼓勵青(少)年從做中學、學中做,做到社會關懷,服務學習,更從服務及參與中不斷的學習改進,並提升青年就業競爭力,以期許成為優秀人才為目標。",志願服務職涯規劃及生涯探索社區服務,"台南市,高雄市,全國性",不限,不限(~),"生涯規劃,志願服務,社區服務,國際交流"
財團法人好心人慈善事業基金會,7735,李欽福,謝小姐,(02)2747-8969,無,無,caretohelptw@gmail.com,105台北市松山區寶清街17號10樓之1,李欽福,2016/03/18,台北市政府,綜合性服務,財團法人好心人慈善事業基金會，簡稱好心人基金會，乃政府立案之慈善團體，以人為本，本人飢己飢、人溺己溺之精神、助需要幫助之人。,提供急難救助服務辦理社會福利慈善事業,全國性,不限,不限(~),"急難救助,醫療補助,生活扶助,喪葬補助,其他"
社團法人高雄市品璇社會福利協會,7734,王雅鈴,王雅鈴,07-7911970,07-7911980,https://www.facebook.com/pin7911970/,pin7911970@gmail.com,"812高雄市小港區桂明街97號1樓 ",吳志輝,2021/01/10,高雄市政府社會局,老人福利,本會期能在高齡化的趨勢下，結合政府及民間的社會資源，推動社會福利工作，提升弱勢民眾的生活品質，讓長輩及弱勢民眾能在後續的生活中獲得良好的照顧及尊嚴。,服務區域,高雄市,不限,限(~),"個案管理,家務助理,在宅服務,關懷專線,送餐服務,社區服務,其他"
南投縣私立月陽居家長照機構,7733,黃美瑜,黃美瑜,049-2391101,049-2391107,無,moonandsuncare@gmail.com,540南投縣南投市中正路330-12號,黃美瑜,2021/08/13,南投縣社會及勞動處,老人福利,執行長照2.0之居家式長期照顧服務,執行長照2.0之居家式長期照顧服務 ,南投縣,不限,不限(~),"個案管理,在宅服務,喘息服務,社工實習,社福資訊"
財團法人亞太堅韌研究基金會,7732,林夏如,黃思為,23036608,23012135,無,info@caprifoundation.org,100台北市中正區重慶南路三段2號4樓,林夏如,2022/05/13,國家發展委員會,教育與科學,就國家治理與發展之各項公共政策議題，進行跨國研究與比較，以提出創新的國家發展策略與政策倡議，協助推動全球合作的永續發展。,亞太堅韌研究基金會是一個非政府、超黨派的國際組織，它的研究聚焦亞太高收入社會面臨的政策挑戰，涵蓋公共衛生、經濟成長、科技創新和永續發展等互相關聯的議題。亞堅會秉持專業智庫角色，從政策研究著手，深入在地社群，拓展國際連結，提出決策建議，更為亞太地區下一代公共政策領袖人才的成長提供平台。,全球性,不限,不限(~),"教學研究,國際交流"
社團法人臺灣童心創意行動協會,7731,許芯瑋,康定睿,02-2368-1310,0223681310,無,service@dfctaiwan.org,100台北市中正區羅斯福路二段9號8樓之3,許芯瑋,2011/10/16,內政部,綜合性服務,"社團法人臺灣童心創意行動協會，是一個致力於將設計思考融入教學現場的非營利組織，我們推動 Design for Change 學習法（簡稱 DFC 學習法），以點燃孩子的學習動機，讓師生透過解決問題，培養面對未來所需的能力。 Design for Change 的教育理念發源於印度河濱學校，至今全球有超過 70 個國家齊聲響應以設計思考為基礎的 DFC 學習法。2010 年，協會發起人許芯瑋取得 Design for Change, Global 之品牌授權，成立 Design for Change, Taiwan（DFC 臺灣），以社團法人臺灣童心創意行動協會為 DFC 學習法在臺之唯一推動單位。",臺灣童心創意行動協會（DFC 臺灣）致力於點燃孩子的學習動機、支持參與改變的教育實踐者，打造全面性的教師專業支持系統；攜手教師設計出以人為本的教育環境，培養孩子解決問題的能力以面對未來的挑戰。,全國性,不限,不限(~),"社教宣導,權益倡導,國際交流"
財團法人台北市長者賽親關懷基金會,7730,鄭作習,鄭小姐,0223250969,無,https://www.kindredplus.org/index.php,service@kindredplus.org,106台北市大安區復興南路二段285號10樓 ,李冠軍,2021/08/04,台北市政府社會局,老人福利,"台灣近年人口老化,台北市亦不例外，高齡人口佔比勢將愈來愈高。長者福祉，應是政府政策官辦事項，鼓勵民間團體參與提供長者的關懷福利，亦是政策所趨。 賽親關懷基金會係由多位發起人，捐助新台幣二仟萬元資產成立的慈善機構。捐助人和第一屆董事會成員，均是專業人士或企業界的資深主管，其中包括律師、醫師、及會計師，且多已屆齡退休或即將落入長者年齡層。本於利人利己的精神，藉由賽親關懷基金會的建制，用以提供關懷福利給大台北都會區需要的長者，但不含醫療、長照、居家服務方面的事務，這些需要專業或特殊場域，非屬本基金會的關懷內容。 賽親關懷基金會的信條",1. 持續性關懷支持 2. 辦理身心靈課程 3. 銀行安養信託監察人,"台北市,新北市",不限,限(65~不限),"心理輔導,個案輔導,個案管理,團體輔導,生涯規劃,法律諮詢,營養諮詢,社福資訊,權益倡導,政策分析"
社團法人新竹縣文創藝術觀光發展協會,7729,徐健智 ,徐健智 ,037603822,無,無,hccatda@gmail.com,308新竹縣寶山鄉新竹縣寶山鄉雙園路二段182巷71號 ,徐勝華,2017/07/14,新竹縣政府,社區規劃(營造),社團法人新竹縣文創藝術觀光發展協會希望透過地方創生達成青年回鄉、社區共生等理想目標，並致力於推廣農業新創、在地產業加值、新觀光價值轉型、美學/藝術力提升與社區營造等行動方案。本單位發跡于新竹寶山，活躍於新竹縣鄉鎮，曾舉辦2017東方美人茶節、客家文化嘉年華、地方創生輔導等實際品牌營造計劃。不止如此，本單位也協辦各式大小農產活動、輕旅行計劃、藝術行動方案、中小企業品牌營造等計劃。,希望透過實體的行動介入，訪察在地的生活生產生態文化等面向，為在地創造更多的價值，創造雙贏的文旅新體驗。,新竹縣,不限,不限(~),其他
力麗長青長照社團法人附社台北市私立樂活住宿長照機構,7728,歐李美智,方珮馨,02-2308-2996113,02-2308-2995,無,social-work@leagreen.com.tw,108台北市萬華區環河南路二段278號2-5樓,郭濟安,2021/11/16,衛生局,老人福利,"力麗集團自1975年成立至今，朝多元化發展，從第一家紙印花廠跨足合纖、紡織、貿易、建設、環工、休閒及科技等事業。由於全體員工的同心協力不僅穩定成長,且不斷的突破佳績，更奠定企業永續經營的雄厚基礎。爾後， 我們仍將秉持集團精神- 勤儉、篤實、積極、創新的理念，以及更感恩的心來回饋社會。 2012年於宜蘭設立樂活老人事業已屆八年，感悟社會對老人機構的供需嚴重不足，遂於2019年依長期照顧服務法法規於台北市申請設立社團法人長照機構，希冀秉持集團一貫的理念，打造一個友善的照護環境，貫徹「用心、細心、耐心」的照護品質，不僅僅是打造“家”的環境，更希望營造如同家人般的信任精神，強調全人均衡與多元化健康促進，參考全人健康六大模式為主要發展之參考依據，更精緻且多元化，期能達到身體健康、社會健康、智能健康、靈性健康、情感健康與職業健康(提升自我價值感,生產力與成就感)。",1.慢性病需護理照顧者。 2.日常生活無法自理者(中風、行動不便者、長期臥床)。 3.急性醫療出院後仍有照護需求者。 4.需定期醫療/護理服務者(復健、傷口照護等)。 5.需管路照護者(鼻胃管、導尿管、造廔管等)。,"台北市,新北市",不限,限(65~100),"收容收養,臨時住宿,社工實習,志願服務"
財團法人博雅管理教育基金會,7727,呂世崇,孫怡敏,886 2 2703 0009,886 2 2703 0009,https://www.mlafund.com/,mindy@mlafund.com,106台北市大安區信義路四段279號8樓 ,呂世崇,2022/06/01,新北市政府教育局,教育與科學,設立學院、專業圖書館。與大學合作教育課程之開發、設計及培訓。教育相關之各式書籍及資料的研究、翻譯、出版及傳播。舉辦學術相關之展覽、會議、講座、研討及諮詢。獎勵或贊助教育相關活動。,設立學院、專業圖書館。與大學合作教育課程之開發、設計及培訓。教育相關之各式書籍及資料的研究、翻譯、出版及傳播。舉辦學術相關之展覽、會議、講座、研討及諮詢。獎勵或贊助教育相關活動。,全國性,不限,限(20~65),教學研究
惠瑜慈善協會,7726,孫正仁,黃先生,02-29992641#187,02-29991739,無,mcf87517600@gmail.com,241新北市三重區重新路5段609巷8號8樓之4,邱淑惠,2020/08/18,內政部,兒童青少年福利,我們都相信，每個孩子都有受教育的權利，不會因為孩子的家庭背景、經濟問題、以及環境的不允許，而犧牲孩子求學、求知及受教育的權利。每次進校與孩子們互動，都讓我們更堅定相信，每個孩童的受教權更需要普及化。 惠瑜慈善協會長久以來都很重視國內弱勢孩童、青少年的教育，希望這些弱勢的孩子們可以獲得更好的學習資源，享受基本的受教權，透過不斷的的學習往自己的夢想前進，而未來，當孩子成長、茁壯出社會有餘力時，還能回過頭來幫助與自己有相同處境的孩子們，成為善循環的起點，因為愛，才是最後一站。本協會理事長在經營事業多年後基於回饋社會，除了數年來與各慈善機構配合贊助經費外，於109/8月成立之全國性慈善協會。我們相信教育是脫貧的重要方法，而青少年是我們未來的希望，我們希望為弱勢家庭青少年提供教育上的協助！！我們誠摯的邀請,一、清寒學生教育及職業發展方案二、惠瑜慈善協會附設課輔中心－墾學園三、學校或他單位合辦課輔班,"台北市,新北市,新竹縣,苗栗縣",不限,不限(~),"心理輔導,個案管理,課後照顧"
社團法人新竹市至愛服務協會,7725,馬健萍,謝堯卿,03-5359785,03-5359787,無,vol.hccg@gmail.com,300新竹市東區中央路241號7樓,傅正泰,1989/11/05,新竹市政府,綜合性服務,本會創立即是希望引導群眾那一份關愛的心性，匯合群體的力量，具體的行動，實際投入參與社會服務之工作，把精神上的關懷及財務上的協助，迅實的傳送給需要幫助的人，並藉著服務來增進人與人、心與心之間的相互溝通及交流。,1. 急難救助組,新竹市,不限,不限(~),"志願服務,社區服務"
財團法人BiG行動夢想家基金會,7724,韓佳宏,黃小姐,02-27009590,02-27009592,無,info.bigfuture@gmail.com,106台北市大安區信義路四段168號9樓,韓佳宏,2017/01/11,宜蘭縣政府,兒童青少年福利,BiG行動夢想家基金會，於2012年啟動至今已有十年的時間，以「相信生命，改變生命」為理念，服務育幼院、失親兒及缺乏完善家庭資源的孩子。關懷陪伴、教育學習與升學就業是基金會的三大服務主軸，並發展文化藝術、科技生態、運動競技、職涯探索四大領域20多種營隊社團，發掘孩子的內在潛能與專長，提供升學就業的資源與機會。創辦人韓佳宏首創共享公益，推動《全台公益達人秀》，整合文化教育資源，提供孩子展露自信的舞台，期望透過「教育」來翻轉孩子的生命。,兒少關懷陪伴、營隊課程學習與升學就業資源提供,全國性,不限,不限(~),"休閒娛樂,營隊活動,獎助學金,生涯規劃,就業資訊,聯合勸募,社福資訊,國際交流"
財團法人青少年自立發展社會福利基金會,7723,洪錦芳,黃先生,(02)2378-8585,(02)2378-7575,無,tidf0111@gmail.com,110台北市信義區基隆路二段79巷33弄7號B1,洪錦芳,2021/01/04,衛生福利部,兒童青少年福利,TeenIDF立基於CCSA推動安置機構兒少自立服務15年的實務經驗，著眼台灣面臨少子化、高齡化、高扶養比的社會發展困境，「自立」實是全民、全齡之需。國家催生嬰幼童，還待養大，養大卻未必養好，焦急的是「青少年」，需要社會同心協力支持、翻轉、造就他們，即可成為社會的中流砥柱。前瞻更要作全國家庭、校園的「自立教育」，推廣價值信念與力行實踐，始能安邦定國，興利發展！,1.研究發展 2.教育推廣 3.服務實踐 4.社會倡導 5.國際合作,全國性,不限,限(~),其他
社團法人桃園市喜大人長者關懷協會,7722,陳冠名,江小姐,032873224,無,https://lifetag.joyelder.org.tw/,lifetag@joyelder.org.tw,320桃園市中壢區高鐵北路二段3號2樓,陳冠名,2020/03/26,桃園市政府社會局,老人福利,喜大人是一個陪伴失能、失智、弱勢長者刻劃人生燦爛，開心度過晚年的組織。高齡化社會下，我們透過傾聽與行動，透過多元整合與創新方式，幫助失能失智長輩在生命後段，也能保有實現自我的可能，創造更多快樂無憾的人生。 - 發票捐贈碼｜9112 ( joyelder) 捐款支持｜https://bit.ly/3m82KvS Facebook｜https://www.facebook.com/joylifetag 立案字號｜府社團字第1090042386號公益勸募許可字號｜衛部救字第1111360300號,提升老年人福利為宗旨，透過傾聽與陪伴，幫助失能失智長輩在生命後段，也能保有實現自我的可能，創造更多快樂無憾的人生。 ,"桃園市,全國性",不限,不限(~),"日間照顧,喘息服務,社區服務"
